id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,150,0.2619736733,0.07220301,0.1897706633,291.16268,235.0157,23.50157
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,155,0.1016467435,0.12989272,-0.0282459765,321.78018,246.6102,24.66102
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,160,0.4021734015,0.2575273,0.1446461015,342.98808,279.0613,27.90613
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,165,0.6382521629,0.496505,0.1417471629,366.86248,285.37399,28.537399
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,170,1.1300885506,1.0356267,0.0944618505999999,386.53315,291.19186,29.119186
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,175,1.0708283504,1.5360772,-0.4652488496,395.03644,293.554,29.3554
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,180,2.0293335107,2.8699264,-0.8405928893,415.83617,306.64002,30.664002
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,185,2.6420956001,3.145571,-0.5034753999,422.41803,309.90665,30.990665
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,190,3.2405472002,3.541667,-0.3011197998,424.83533,313.42835,31.342835
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,195,2.8063412403,3.014311,-0.2079697597,424.83533,313.42835,31.342835
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,200,2.3776542108,2.755806,-0.3781517892,424.83533,313.42835,31.342835
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,205,1.6340529807,1.9700008,-0.335947819300001,418.9827,307.85817,30.785817
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,120,0.0215308525,0.000430302,0.0211005505,125.3275,114.13841,11.413841
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,125,0.0374469832,0.000650137,0.0367968462,140.919,121.59494,12.159494
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,130,0.0004986438,0.000932201,-0.0004335572,140.919,121.59494,12.159494
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,135,0.0077949227,0.001947576,0.0058473467,140.919,121.59494,12.159494
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,140,0.0778866021,0.005869215,0.0720173871,160.0787,127.41939,12.741939
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,145,0.1213681231,0.02169569,0.0996724331,182.28825,146.52692,14.652692
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,210,1.7057103708,1.1834189,0.5222914708,376.0716,281.00757,28.100757
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,215,1.1277379622,0.5968296,0.5309083622,337.75527,267.92269,26.792269
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,220,0.8523702404,0.2771447,0.5752255404,299.57723,229.50192,22.950192
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,225,0.229254363,0.06113732,0.168117043,210.85205,163.74584,16.374584
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,230,0.1896826004,0.01664112,0.1730414804,151.4101,134.71558,13.471558
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,235,0.1025047606,0.004411923,0.0980928376,98.6586,109.73118,10.973118
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,240,0.0590636904,0.001044011,0.0580196794,79.4989,103.90673,10.390673
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,245,0.0074715704,0.00030465,0.0071669204,63.9074,96.4502,9.64502
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,250,0.0559987,0.000224727,0.055773973,63.9074,96.4502,9.64502
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,80,0.0176889711,0.0001993627,0.0174896084,64.7129,60.3899,6.03899
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,85,0.0001993621,0.0001993637,-1.60000000000351e-09,64.7129,60.3899,6.03899
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,90,0.0001993621,0.0001993674,-5.3000000000184e-09,64.7129,60.3899,6.03899
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,95,0.0001993621,0.0001993877,-2.56000000000019e-08,64.7129,60.3899,6.03899
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,100,0.0001993621,0.0001994933,-1.31200000000017e-07,64.7129,60.3899,6.03899
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,105,0.0001993621,0.0001999453,-5.83199999999978e-07,64.7129,60.3899,6.03899
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,110,0.0347096621,0.000301613,0.0344080491,84.6501,64.18821,6.418821
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,115,0.0002991525,0.000306916,-7.76349999999999e-06,84.6501,64.18821,6.418821
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,60,0.0146922,9.96711e-05,0.0145925289,42.5789,47,4.7
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,65,9.96711e-05,9.96711e-05,0,42.5789,47,4.7
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,70,9.96711e-05,9.96711e-05,0,42.5789,47,4.7
12-CAAL-old-growth-SD,3,F03_LL.JP.3,yes,LEN,1,75,9.96711e-05,9.96713e-05,-2.00000000000439e-10,42.5789,47,4.7
12-CAAL-old-growth-SD,5,F05_LL.TW.4,yes,LEN,1,120,0.1832969618,0.06835177,0.1149451918,153.38007,95.127137,9.5127137
12-CAAL-old-growth-SD,5,F05_LL.TW.4,yes,LEN,1,125,0.1765030529,0.0665743,0.1099287529,170.51327,100.565407,10.0565407
12-CAAL-old-growth-SD,5,F05_LL.TW.4,yes,LEN,1,130,0.1857569337,0.08411044,0.1016464937,170.51327,100.565407,10.0565407
12-CAAL-old-growth-SD,5,F05_LL.TW.4,yes,LEN,1,135,0.390516213,0.16351686,0.226999353,186.13537,103.484037,10.3484037
12-CAAL-old-growth-SD,5,F05_LL.TW.4,yes,LEN,1,140,0.1679879537,0.2389235,-0.0709355463,186.13537,103.484037,10.3484037
12-CAAL-old-growth-SD,5,F05_LL.TW.4,yes,LEN,1,145,0.2383778531,0.3907081,-0.1523302469,186.13537,103.484037,10.3484037
12-CAAL-old-growth-SD,5,F05_LL.TW.4,yes,LEN,1,150,0.4044531034,0.8517536,-0.4473004966,217.71631,106.951927,10.6951927
12-CAAL-old-growth-SD,5,F05_LL.TW.4,yes,LEN,1,155,0.7068341732,1.5778584,-0.8710242268,248.42849,122.463067,12.2463067
12-CAAL-old-growth-SD,5,F05_LL.TW.4,yes,LEN,1,160,0.6351043332,1.2380275,-0.6029231668,248.42849,122.463067,12.2463067
12-CAAL-old-growth-SD,5,F05_LL.TW.4,yes,LEN,1,165,1.4288749102,1.7263639,-0.2974889898,255.75392,123.583867,12.3583867
12-CAAL-old-growth-SD,5,F05_LL.TW.4,yes,LEN,1,170,1.6256894615,1.5488211,0.0768683615000001,255.75392,123.583867,12.3583867
12-CAAL-old-growth-SD,5,F05_LL.TW.4,yes,LEN,1,175,1.9269910621,2.2269712,-0.2999801379,257.31844,125.335637,12.5335637
12-CAAL-old-growth-SD,5,F05_LL.TW.4,yes,LEN,1,180,1.7408372622,1.7528773,-0.0120400378000003,257.31844,125.335637,12.5335637
