id,Label,Value,Parm_StDev,Phase,Min,Max,Init,Status,Afterbound
12-CAAL-old-growth-SD,L_at_Amin_Fem_GP_1,77.3185,6.46057,7,5,100,59.9,OK,OK
12-CAAL-old-growth-SD,L_at_Amax_Fem_GP_1,219.161,2.71255,6,50,600,210.956,OK,OK
12-CAAL-old-growth-SD,VonBert_K_Fem_GP_1,0.461432,0.0330739,8,0.01,0.99,0.8351,OK,OK
12-CAAL-old-growth-SD,SR_LN(R0),5.07803,0.0265359,1,2,15,4.7881,OK,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1952_s_4,0.000970314,0.000227738,5,0,20,0.05,act,CHECK
12-CAAL-old-growth-SD,F_fleet_15_YR_1953_s_1,0.000223714,2.19587e-05,5,0,20,0.05,act,CHECK
12-CAAL-old-growth-SD,F_fleet_15_YR_1953_s_3,0.00448661,0.00105118,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1953_s_4,0.478674,0.114977,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1954_s_1,0.0627109,0.00658549,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1954_s_2,0.00226968,0.000237454,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1954_s_3,0.629334,0.152736,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1954_s_4,2.96538,0.789618,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1955_s_1,0.129194,0.0251137,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1955_s_2,0.00811754,0.00148877,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1955_s_3,0.62463,0.173878,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1955_s_4,1.35674,0.388963,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1956_s_1,0.0614058,0.0120988,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1956_s_2,0.0104222,0.00190671,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1956_s_3,0.35494,0.0979003,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1956_s_4,1.24395,0.350888,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1957_s_1,0.0188645,0.00355321,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1957_s_2,0.00781688,0.0013792,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1957_s_3,0.266478,0.0726128,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1957_s_4,1.30433,0.365461,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1958_s_1,0.0111292,0.00205164,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1958_s_2,0.00477645,0.00082753,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1958_s_3,0.568783,0.155953,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1958_s_4,2.06824,0.604609,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1959_s_1,0.0557665,0.0118832,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1959_s_2,0.0630196,0.0125209,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1959_s_3,1.0427,0.305402,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1959_s_4,1.39562,0.42477,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1960_s_1,0.0248611,0.00534474,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1960_s_2,0.0809758,0.016024,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1960_s_3,1.32141,0.388592,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1960_s_4,1.34394,0.410832,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1961_s_1,0.00829724,0.00179163,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1961_s_2,0.0579678,0.0115079,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1961_s_3,1.6718,0.497201,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1961_s_4,2.6776,0.880457,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1962_s_1,0.148398,0.0393431,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1962_s_2,0.105657,0.0253668,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1962_s_3,1.16316,0.366957,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1962_s_4,2.79139,0.937781,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1963_s_1,0.063023,0.0170993,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1963_s_2,0.177215,0.0438458,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1963_s_3,0.469582,0.149601,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1963_s_4,3.56684,1.21626,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1964_s_1,0.241286,0.0724133,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1964_s_2,0.101076,0.0277927,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1964_s_3,0.712945,0.243088,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1964_s_4,1.13936,0.395048,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1965_s_1,0.0932578,0.024774,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1965_s_2,0.0866004,0.0216618,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1965_s_3,0.97434,0.324395,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1965_s_4,1.26024,0.440006,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1966_s_1,0.170102,0.0472883,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1966_s_2,0.332435,0.0893769,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1966_s_3,1.49334,0.534603,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1966_s_4,1.70263,0.660106,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1967_s_1,0.098428,0.0318393,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1967_s_2,0.0735588,0.0219437,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1967_s_3,0.808815,0.293268,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1967_s_4,0.433428,0.156403,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1968_s_1,0.125289,0.034718,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1968_s_2,0.0788008,0.0207371,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1968_s_3,0.411379,0.138302,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1968_s_4,0.356919,0.118858,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1969_s_1,0.069719,0.0173945,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1969_s_2,0.0255932,0.00617695,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1969_s_3,0.20959,0.0663756,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1969_s_4,0.472469,0.149336,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1970_s_1,0.17086,0.0388792,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1970_s_2,0.028303,0.00621748,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1970_s_3,0.669753,0.206552,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1970_s_4,1.36092,0.443739,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1971_s_1,0.109748,0.0297968,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1971_s_2,0.0782562,0.0212198,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1971_s_3,0.871693,0.29637,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1971_s_4,1.66727,0.584542,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1972_s_1,0.71194,0.21333,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1972_s_2,0.0776059,0.0224289,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1972_s_3,0.336382,0.115355,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1972_s_4,2.04334,0.707859,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1973_s_1,0.67278,0.193554,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1973_s_2,0.0894025,0.024659,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1973_s_3,0.250784,0.0840087,5,0,20,0.05,act,OK
12-CAAL-old-growth-SD,F_fleet_15_YR_1973_s_4,2.50331,0.87118,5,0,20,0.05,act,OK
