"Value" "Parm_StDev" "type" "Yr"
"Early_InitAge_10" -0.0150381 0.199096 "Early_InitAge" 1942
"Early_InitAge_9" -0.00559573 0.199543 "Early_InitAge" 1943
"Early_InitAge_8" -0.0055693 0.199606 "Early_InitAge" 1944
"Early_InitAge_7" -0.00256857 0.199936 "Early_InitAge" 1945
"Early_InitAge_6" 0.00730646 0.200751 "Early_InitAge" 1946
"Early_InitAge_5" 0.0293232 0.202155 "Early_InitAge" 1947
"Early_InitAge_4" 0.0602906 0.203503 "Early_InitAge" 1948
"Early_InitAge_3" 0.0729797 0.203584 "Early_InitAge" 1949
"Early_InitAge_2" 0.0772206 0.203427 "Early_InitAge" 1950
"Early_InitAge_1" 0.098022 0.204028 "Early_InitAge" 1951
"Main_RecrDev_1952" 0.132745 0.200395 "Main_RecrDev" 1952
"Main_RecrDev_1953" 0.108346 0.197207 "Main_RecrDev" 1953
"Main_RecrDev_1954" 0.0714867 0.195071 "Main_RecrDev" 1954
"Main_RecrDev_1955" 0.0586135 0.194294 "Main_RecrDev" 1955
"Main_RecrDev_1956" 0.0730246 0.195433 "Main_RecrDev" 1956
"Main_RecrDev_1957" 0.0994276 0.197294 "Main_RecrDev" 1957
"Main_RecrDev_1958" 0.11687 0.196121 "Main_RecrDev" 1958
"Main_RecrDev_1959" 0.102739 0.197022 "Main_RecrDev" 1959
"Main_RecrDev_1960" 0.118336 0.194799 "Main_RecrDev" 1960
"Main_RecrDev_1961" 0.0828006 0.192061 "Main_RecrDev" 1961
"Main_RecrDev_1962" 0.0266651 0.192921 "Main_RecrDev" 1962
"Main_RecrDev_1963" 0.0245839 0.192577 "Main_RecrDev" 1963
"Main_RecrDev_1964" 0.019128 0.193148 "Main_RecrDev" 1964
"Main_RecrDev_1965" -0.00253012 0.192154 "Main_RecrDev" 1965
"Main_RecrDev_1966" -0.0180694 0.191937 "Main_RecrDev" 1966
"Main_RecrDev_1967" -0.00725855 0.192711 "Main_RecrDev" 1967
"Main_RecrDev_1968" 0.0138982 0.191397 "Main_RecrDev" 1968
"Main_RecrDev_1969" -0.00774918 0.187024 "Main_RecrDev" 1969
"Main_RecrDev_1970" -0.0504077 0.182585 "Main_RecrDev" 1970
"Main_RecrDev_1971" -0.0353014 0.183121 "Main_RecrDev" 1971
"Main_RecrDev_1972" -0.0164929 0.185987 "Main_RecrDev" 1972
"Main_RecrDev_1973" 0.012879 0.183859 "Main_RecrDev" 1973
"Main_RecrDev_1974" -0.0710088 0.182676 "Main_RecrDev" 1974
"Main_RecrDev_1975" -0.0943971 0.180066 "Main_RecrDev" 1975
"Main_RecrDev_1976" -0.0297624 0.176181 "Main_RecrDev" 1976
"Main_RecrDev_1977" -0.0035479 0.175473 "Main_RecrDev" 1977
"Main_RecrDev_1978" 0.138876 0.149187 "Main_RecrDev" 1978
"Main_RecrDev_1979" 0.110452 0.150371 "Main_RecrDev" 1979
"Main_RecrDev_1980" 0.179087 0.133579 "Main_RecrDev" 1980
"Main_RecrDev_1981" -0.234865 0.146754 "Main_RecrDev" 1981
"Main_RecrDev_1982" -0.0533838 0.135273 "Main_RecrDev" 1982
