id,Fleet,Time,Obs,Exp,sel_bio,sel_num,F,Like,Mult
12-CAAL-old-growth-SD,1,1952.37,0.002,0.00199999,0.144109,0.00199999,5.32587e-05,3.38094e-08,1
12-CAAL-old-growth-SD,1,1952.62,0.002,0.00199999,0.144025,0.00199999,5.3058e-05,3.35514e-08,1
12-CAAL-old-growth-SD,1,1953.12,0.068,0.0679998,4.88419,0.0679998,0.00178797,3.28741e-08,1
12-CAAL-old-growth-SD,1,1953.37,0.014,0.014,1.00517,0.014,0.000366743,3.29061e-08,1
12-CAAL-old-growth-SD,1,1953.62,0.023,0.0229999,1.652,0.0229999,0.00060044,6.34143e-08,1
12-CAAL-old-growth-SD,1,1953.87,0.024,0.0239974,1.70984,0.0239974,0.000642259,4.88195e-05,1
12-CAAL-old-growth-SD,1,1954.12,0.175,0.174999,12.3155,0.174999,0.00478342,5.08234e-08,1
12-CAAL-old-growth-SD,1,1954.37,0.328,0.327999,23.0985,0.327999,0.00894273,3.65747e-08,1
12-CAAL-old-growth-SD,1,1954.62,0.257,0.256996,17.9198,0.256996,0.0072219,8.30123e-07,1
12-CAAL-old-growth-SD,1,1954.87,0.34,0.340093,22.1963,0.340093,0.0112893,0.000307559,1
12-CAAL-old-growth-SD,1,1955.12,0.216,0.215999,13.2401,0.215999,0.00791891,8.4467e-08,1
12-CAAL-old-growth-SD,1,1955.37,0.228,0.227999,14.0756,0.227999,0.00810962,6.50899e-08,1
12-CAAL-old-growth-SD,1,1955.62,0.184,0.183999,11.3553,0.183999,0.00655836,7.62484e-08,1
12-CAAL-old-growth-SD,1,1955.87,0.412,0.412004,24.8619,0.412004,0.0156424,4.18779e-07,1
12-CAAL-old-growth-SD,1,1956.12,0.14,0.139999,8.32923,0.139999,0.00542708,8.59883e-08,1
12-CAAL-old-growth-SD,1,1956.37,0.201,0.200999,12.1277,0.200999,0.00755144,7.49464e-08,1
12-CAAL-old-growth-SD,1,1956.62,0.112,0.111999,6.81082,0.111999,0.00417629,8.92477e-08,1
12-CAAL-old-growth-SD,1,1956.87,0.255,0.255002,15.2991,0.255002,0.0100207,3.05716e-07,1
12-CAAL-old-growth-SD,1,1957.12,0.125,0.124999,7.4115,0.124999,0.00500014,8.02092e-08,1
12-CAAL-old-growth-SD,1,1957.37,0.098,0.0979996,5.89014,0.0979996,0.0037875,8.33491e-08,1
12-CAAL-old-growth-SD,1,1957.62,0.234,0.233999,14.1851,0.233999,0.00888029,1.42672e-07,1
12-CAAL-old-growth-SD,1,1957.87,0.645,0.645006,38.5911,0.645006,0.0255102,3.10873e-07,1
12-CAAL-old-growth-SD,1,1958.12,0.27,0.269999,15.9352,0.269999,0.0108392,7.71057e-08,1
12-CAAL-old-growth-SD,1,1958.37,0.241,0.240999,14.405,0.240999,0.00933491,7.4707e-08,1
12-CAAL-old-growth-SD,1,1958.62,0.61,0.609997,36.549,0.609997,0.0235428,7.83444e-08,1
12-CAAL-old-growth-SD,1,1958.87,1.446,1.44608,83.8768,1.44608,0.0609361,1.26848e-05,1
12-CAAL-old-growth-SD,1,1959.12,0.22,0.219999,12.4271,0.219999,0.0096144,9.53667e-08,1
12-CAAL-old-growth-SD,1,1959.37,0.264,0.263999,15.1363,0.263999,0.011038,1.13484e-07,1
12-CAAL-old-growth-SD,1,1959.62,0.534,0.533998,30.6118,0.533998,0.0223163,4.05629e-08,1
12-CAAL-old-growth-SD,1,1959.87,0.9,0.9,50.6572,0.9,0.0393966,2.19167e-12,1
12-CAAL-old-growth-SD,1,1960.12,0.211,0.210999,11.8333,0.210999,0.00918317,9.64852e-08,1
12-CAAL-old-growth-SD,1,1960.37,0.495,0.494998,28.299,0.494998,0.0206734,9.71372e-08,1
12-CAAL-old-growth-SD,1,1960.62,0.654,0.654,37.3118,0.654,0.0277875,1.68473e-09,1
12-CAAL-old-growth-SD,1,1960.87,0.978,0.977997,54.7,0.977997,0.0439101,3.8688e-08,1
12-CAAL-old-growth-SD,1,1961.12,0.589,0.588997,32.8621,0.588997,0.0262633,9.41397e-08,1
12-CAAL-old-growth-SD,1,1961.37,0.423,0.422998,24.0682,0.422998,0.0180697,1.06317e-07,1
12-CAAL-old-growth-SD,1,1961.62,7.602,7.60203,429.434,7.60203,0.341101,8.03242e-08,1
12-CAAL-old-growth-SD,1,1961.87,0.933,0.933055,50.407,0.933055,0.0474359,1.45808e-05,1
12-CAAL-old-growth-SD,1,1962.12,1.645,1.64499,87.2839,1.64499,0.0853841,1.34288e-07,1
12-CAAL-old-growth-SD,1,1962.37,0.47,0.469997,25.5232,0.469997,0.0232471,1.37447e-07,1
12-CAAL-old-growth-SD,1,1962.62,1.061,1.061,58.0073,1.061,0.0530055,1.89865e-08,1
12-CAAL-old-growth-SD,1,1962.87,1.322,1.32207,70.391,1.32207,0.0726976,1.19029e-05,1
12-CAAL-old-growth-SD,1,1963.12,1.526,1.52599,80.4333,1.52599,0.0859893,1.50763e-07,1
12-CAAL-old-growth-SD,1,1963.37,0.767,0.766996,41.2957,0.766996,0.0420159,1.38188e-07,1
12-CAAL-old-growth-SD,1,1963.62,1.105,1.10499,60.0196,1.10499,0.0610417,1.34746e-07,1
12-CAAL-old-growth-SD,1,1963.87,1.758,1.75832,92.7008,1.75832,0.108138,0.000133288,1
12-CAAL-old-growth-SD,1,1964.12,0.843,0.842994,43.4153,0.842994,0.0540754,2.12335e-07,1
12-CAAL-old-growth-SD,1,1964.37,0.588,0.587996,31.0086,0.587996,0.0358769,1.82847e-07,1
12-CAAL-old-growth-SD,1,1964.62,0.4,0.399998,21.3554,0.399998,0.0240724,1.35328e-07,1
12-CAAL-old-growth-SD,1,1964.87,0.468,0.467998,25.0016,0.467998,0.0287432,8.45802e-08,1
12-CAAL-old-growth-SD,1,1965.12,2.134,2.13399,114.779,2.13399,0.12968,1.73295e-07,1
12-CAAL-old-growth-SD,1,1965.37,1.537,1.53699,84.1332,1.53699,0.0912175,1.62583e-07,1
12-CAAL-old-growth-SD,1,1965.62,0.718,0.717997,39.3375,0.717997,0.0432009,7.44219e-08,1
12-CAAL-old-growth-SD,1,1965.87,0.641,0.640999,34.6412,0.640999,0.0403063,1.09699e-08,1
12-CAAL-old-growth-SD,1,1966.12,0.623,0.622996,33.5087,0.622996,0.0388822,1.9819e-07,1
12-CAAL-old-growth-SD,1,1966.37,1.634,1.63399,88.802,1.63399,0.099248,1.77428e-07,1
12-CAAL-old-growth-SD,1,1966.62,0.55,0.550003,29.5724,0.550003,0.034355,1.32465e-07,1
