id,Yr,Era,SSB,SSB_nofishing
12-CAAL-old-growth-SD,1950,VIRG,11373,11373
12-CAAL-old-growth-SD,1951,INIT,11373,11373
12-CAAL-old-growth-SD,1952,TIME,11710.1,11710.1
12-CAAL-old-growth-SD,1953,TIME,11810.9,11865.9
12-CAAL-old-growth-SD,1954,TIME,10807.4,12039.7
12-CAAL-old-growth-SD,1955,TIME,5496.6,12242.3
12-CAAL-old-growth-SD,1956,TIME,4568.74,12377.1
12-CAAL-old-growth-SD,1957,TIME,4412.35,12399.6
12-CAAL-old-growth-SD,1958,TIME,4388.24,12363.2
12-CAAL-old-growth-SD,1959,TIME,3484.99,12347
12-CAAL-old-growth-SD,1960,TIME,3271.42,12392.2
12-CAAL-old-growth-SD,1961,TIME,3153.89,12476.3
12-CAAL-old-growth-SD,1962,TIME,2245.07,12545.2
12-CAAL-old-growth-SD,1963,TIME,1919.58,12602.8
12-CAAL-old-growth-SD,1964,TIME,1572.3,12576.9
12-CAAL-old-growth-SD,1965,TIME,1976.22,12435.9
12-CAAL-old-growth-SD,1966,TIME,2019.68,12266
12-CAAL-old-growth-SD,1967,TIME,1714.17,12102.9
12-CAAL-old-growth-SD,1968,TIME,2152.04,11931.1
12-CAAL-old-growth-SD,1969,TIME,2669.43,11761
12-CAAL-old-growth-SD,1970,TIME,3087.9,11638.2
12-CAAL-old-growth-SD,1971,TIME,2377.75,11574.2
12-CAAL-old-growth-SD,1972,TIME,1712.79,11496.7
12-CAAL-old-growth-SD,1973,TIME,1523.35,11367.8
12-CAAL-old-growth-SD,1974,TIME,1463.32,11261.1
12-CAAL-old-growth-SD,1975,TIME,1569.55,11220
12-CAAL-old-growth-SD,1976,TIME,1771.05,11220.3
12-CAAL-old-growth-SD,1977,TIME,1852.68,11117.4
12-CAAL-old-growth-SD,1978,TIME,2320.86,10969
12-CAAL-old-growth-SD,1979,TIME,2111.84,10923.6
12-CAAL-old-growth-SD,1980,TIME,2006.6,11022.7
12-CAAL-old-growth-SD,1981,TIME,2551.81,11350.4
12-CAAL-old-growth-SD,1982,TIME,2165.06,11710.6
12-CAAL-old-growth-SD,1983,TIME,1674.77,11969.9
12-CAAL-old-growth-SD,1984,TIME,1812.74,11671.4
12-CAAL-old-growth-SD,1985,TIME,1821.71,11323.4
12-CAAL-old-growth-SD,1986,TIME,1648.75,10900.5
12-CAAL-old-growth-SD,1987,TIME,1567.11,10407
12-CAAL-old-growth-SD,1988,TIME,1447.34,9805.34
12-CAAL-old-growth-SD,1989,TIME,1439.97,9743.73
12-CAAL-old-growth-SD,1990,TIME,1336.66,10559
12-CAAL-old-growth-SD,1991,TIME,1395.21,11015.2
12-CAAL-old-growth-SD,1992,TIME,1526.41,10965
12-CAAL-old-growth-SD,1993,TIME,1787.41,10815.9
12-CAAL-old-growth-SD,1994,TIME,1944.42,10976.4
12-CAAL-old-growth-SD,1995,TIME,1687.12,11521.8
12-CAAL-old-growth-SD,1996,TIME,1786.85,12012.7
12-CAAL-old-growth-SD,1997,TIME,1869.18,12110.5
12-CAAL-old-growth-SD,1998,TIME,2136.33,12331
12-CAAL-old-growth-SD,1999,TIME,2341.26,13646.5
12-CAAL-old-growth-SD,2000,TIME,2197.69,14265.8
12-CAAL-old-growth-SD,2001,TIME,2445.66,14771.5
12-CAAL-old-growth-SD,2002,TIME,2540.26,14802.1
12-CAAL-old-growth-SD,2003,TIME,2157.65,13979.1
12-CAAL-old-growth-SD,2004,TIME,1703.36,13670.2
12-CAAL-old-growth-SD,2005,TIME,1352.9,13105.4
12-CAAL-old-growth-SD,2006,TIME,1374.03,12579.9
12-CAAL-old-growth-SD,2007,TIME,1521.47,12192.7
12-CAAL-old-growth-SD,2008,TIME,1576.44,11776.1
12-CAAL-old-growth-SD,2009,TIME,1557.91,11633.3
12-CAAL-old-growth-SD,2010,TIME,1668.72,11547
12-CAAL-old-growth-SD,2011,TIME,1601.67,11315.6
12-CAAL-old-growth-SD,2012,TIME,1305.94,10928.9
12-CAAL-old-growth-SD,2013,TIME,1073.16,10486.5
12-CAAL-old-growth-SD,2014,TIME,1148.5,10062.4
12-CAAL-old-growth-SD,2015,TIME,985.957,9776.53
12-CAAL-old-growth-SD,2016,TIME,881.701,9797.19
12-CAAL-old-growth-SD,2017,TIME,911.752,9677.86
12-CAAL-old-growth-SD,2018,TIME,1025.57,9599.62
12-CAAL-old-growth-SD,2019,TIME,1010.97,9639.01
12-CAAL-old-growth-SD,2020,TIME,931.406,9607.41
12-CAAL-old-growth-SD,2021,TIME,887.855,9390.09
12-CAAL-old-growth-SD,2022,TIME,1087.54,9621.81
12-CAAL-old-growth-SD,2023,FORE,1586.4,10509.4
