id,Yr,SpawnBio,bias_adjusted,pred_recr
12-CAAL-old-growth-SD,1942,11373,160.457,158.062
12-CAAL-old-growth-SD,1943,11373,160.457,159.562
12-CAAL-old-growth-SD,1944,11373,160.457,159.566
12-CAAL-old-growth-SD,1945,11373,160.457,160.045
12-CAAL-old-growth-SD,1946,11373,160.457,161.634
12-CAAL-old-growth-SD,1947,11373,160.457,165.232
12-CAAL-old-growth-SD,1948,11373,160.457,170.429
12-CAAL-old-growth-SD,1949,11373,160.457,172.605
12-CAAL-old-growth-SD,1950,11373,160.457,173.338
12-CAAL-old-growth-SD,1951,11373,160.457,176.982
12-CAAL-old-growth-SD,1952,11710.1,160.746,183.566
12-CAAL-old-growth-SD,1953,11810.9,160.83,179.234
12-CAAL-old-growth-SD,1954,10807.4,159.934,171.786
12-CAAL-old-growth-SD,1955,5496.6,150.407,159.487
12-CAAL-old-growth-SD,1956,4568.74,146.794,157.914
12-CAAL-old-growth-SD,1957,4412.35,146.057,161.325
12-CAAL-old-growth-SD,1958,4388.24,145.939,164.032
12-CAAL-old-growth-SD,1959,3484.99,140.572,155.782
12-CAAL-old-growth-SD,1960,3271.42,138.951,156.406
12-CAAL-old-growth-SD,1961,3153.89,137.984,149.895
12-CAAL-old-growth-SD,1962,2245.07,127.946,131.404
12-CAAL-old-growth-SD,1963,1919.58,122.667,125.72
12-CAAL-old-growth-SD,1964,1572.3,115.421,117.65
12-CAAL-old-growth-SD,1965,1976.22,123.614,123.301
12-CAAL-old-growth-SD,1966,2019.68,124.328,122.101
12-CAAL-old-growth-SD,1967,1714.17,118.534,117.676
12-CAAL-old-growth-SD,1968,2152.04,126.393,128.161
12-CAAL-old-growth-SD,1969,2669.43,133.084,132.056
12-CAAL-old-growth-SD,1970,3087.9,137.165,130.422
12-CAAL-old-growth-SD,1971,2377.75,129.509,125.017
12-CAAL-old-growth-SD,1972,1712.79,118.37,116.434
12-CAAL-old-growth-SD,1973,1523.35,113.994,115.471
12-CAAL-old-growth-SD,1974,1463.32,112.435,104.728
12-CAAL-old-growth-SD,1975,1569.55,115.067,104.702
12-CAAL-old-growth-SD,1976,1771.05,119.468,115.965
12-CAAL-old-growth-SD,1977,1852.68,121.04,120.611
12-CAAL-old-growth-SD,1978,2320.86,128.541,147.692
12-CAAL-old-growth-SD,1979,2111.84,125.455,140.106
12-CAAL-old-growth-SD,1980,2006.6,123.712,147.975
12-CAAL-old-growth-SD,1981,2551.81,131.382,103.88
12-CAAL-old-growth-SD,1982,2165.06,126.189,119.629
12-CAAL-old-growth-SD,1983,1674.77,117.258,96.1515
12-CAAL-old-growth-SD,1984,1812.74,120.079,97.1176
12-CAAL-old-growth-SD,1985,1821.71,120.226,75.2777
12-CAAL-old-growth-SD,1986,1648.75,116.604,99.9912
12-CAAL-old-growth-SD,1987,1567.11,114.696,163.619
12-CAAL-old-growth-SD,1988,1447.34,111.657,113.586
12-CAAL-old-growth-SD,1989,1439.97,111.436,98.3246
12-CAAL-old-growth-SD,1990,1336.66,108.518,95.7014
12-CAAL-old-growth-SD,1991,1395.21,110.166,115.036
12-CAAL-old-growth-SD,1992,1526.41,113.578,142.604
12-CAAL-old-growth-SD,1993,1787.41,119.335,144.987
12-CAAL-old-growth-SD,1994,1944.42,122.248,125.481
12-CAAL-old-growth-SD,1995,1687.12,117.206,115.928
12-CAAL-old-growth-SD,1996,1786.85,119.242,238.08
12-CAAL-old-growth-SD,1997,1869.18,120.8,136.164
12-CAAL-old-growth-SD,1998,2136.33,125.294,190.528
12-CAAL-old-growth-SD,1999,2341.26,128.205,169.459
12-CAAL-old-growth-SD,2000,2197.69,126.159,86.172
12-CAAL-old-growth-SD,2001,2445.66,129.498,178.409
12-CAAL-old-growth-SD,2002,2540.26,130.62,112.406
12-CAAL-old-growth-SD,2003,2157.65,125.476,123.691
12-CAAL-old-growth-SD,2004,1703.36,117.313,119.646
12-CAAL-old-growth-SD,2005,1352.9,108.62,93.9732
12-CAAL-old-growth-SD,2006,1374.03,109.199,116.44
12-CAAL-old-growth-SD,2007,1521.47,113.095,114.656
12-CAAL-old-growth-SD,2008,1576.44,114.422,105.476
12-CAAL-old-growth-SD,2009,1557.91,113.982,96.0571
12-CAAL-old-growth-SD,2010,1668.72,116.515,93.6897
12-CAAL-old-growth-SD,2011,1601.67,115.011,89.8775
12-CAAL-old-growth-SD,2012,1305.94,107.211,83.0935
12-CAAL-old-growth-SD,2013,1073.16,99.3007,98.5257
12-CAAL-old-growth-SD,2014,1148.5,102.072,78.243
12-CAAL-old-growth-SD,2015,985.957,95.7934,81.5518
12-CAAL-old-growth-SD,2016,881.701,91.111,82.4215
12-CAAL-old-growth-SD,2017,911.752,92.5206,80.5484
12-CAAL-old-growth-SD,2018,1025.57,97.4292,66.9798
12-CAAL-old-growth-SD,2019,1010.97,96.8349,92.2493
12-CAAL-old-growth-SD,2020,931.406,93.4155,129.62
12-CAAL-old-growth-SD,2021,887.855,91.4039,97.9835
12-CAAL-old-growth-SD,2022,1087.54,100.851,105.037
12-CAAL-old-growth-SD,2023,1586.4,115.808,115.808
